"sep=,"
"Order #","Suffix","Stage","Purchase Order","Customer #","Customer Name","Order Notes","Customer Notes","Ship To","Ship To Name","Disposition","Warehouse","Warehouse Name","Division","Type","Suspended / Floor Plan","Job #","Promised Date","Requested Ship Date","Shipped Date","Invoice Date","Quantity Ordered","Quantity Shipped","Invoice Amount","Ordered Amount","Shipped Amount","Inside Sales Rep","Outside Sales Rep","Customer Ship To Name","Taken By","Entered Date","Warehouse Transfer Billed","Approval","Origin Code","Origin Copy Type","Origin Order #","Origin Order Suffix","Vendor Return Authorization #","Sales Warehouse","Reference","Inside Sales Rep Name","Outside Sales Rep Name","Taken By Name","Picked Date","Ship Via"
"45435","00","Cancelled","Dunkirk Pricing","1097756","ZENNER & RITTER, INC","","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Quote","","","9/19/2014","9/19/2014","","","0","0","0.00","0.00","0.00","sek","I07","ZENNER & RITTER, INC","sek","5/7/2015","No","y","","","0","00","","","","Scott Kohler","Open - Scott Kohler","sek","","cp"
"105826","00","Paid","","1097756","ZENNER & RITTER, INC","!","*","001","ZENNER & RITTER, INC","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Correction","","","12/7/1998","12/7/1998","12/8/1998","12/8/1998","-1","-1","-302.94","-280.50","-280.50","rrr","I18","ZENNER & RITTER, INC","RRR","12/7/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","1/22/2001",""
"107142","00","Paid","20 PEARCE","1097756","ZENNER & RITTER, INC","","*","001","20 PEARCE","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","12/28/1998","12/28/1998","12/30/1998","12/30/1998","8","5","299.04","640.06","276.86","rrr","I18","ZENNER & RITTER, INC","RRR","12/28/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","1/22/2001",""
"107142","01","Paid","20 PEARCE","1097756","ZENNER & RITTER, INC","","*","001","20 PEARCE","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","12/28/1998","12/28/1998","12/30/1998","12/30/1998","3","2","289.66","363.20","268.20","rrr","I18","ZENNER & RITTER, INC","RRR","12/28/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","12/29/1998",""
"107142","02","Paid","20 PEARCE","1097756","ZENNER & RITTER, INC","","*","001","20 PEARCE","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","12/28/1998","12/28/1998","12/30/1998","12/30/1998","1","1","102.60","95.00","95.00","rrr","I18","ZENNER & RITTER, INC","RRR","12/28/1998","No","y","","","0","00","","","","Randy Robb retired 3/31/21","Jason Nobles","rrr  retired 3/31/21","12/29/1998",""
"137582","00","Paid","8964 adrian","1097756","ZENNER & RITTER, INC","","*","001","old armour duells","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Stock Order","","","3/31/2000","3/31/2000","3/31/2000","3/31/2000","5","5","49.08","45.44","45.44","bu5","I69","ZENNER & RITTER, INC","mnc","3/31/2000","No","y","","","0","00","","","","Buffalo Generic","Open","mnc","6/26/2000","ot"
"171897","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","9/19/2001","9/19/2001","9/20/2001","9/20/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","9/19/2001","No","y","","","0","00","","","","","Open","","12/30/2002",""
"171903","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","9/19/2001","9/19/2001","9/20/2001","9/20/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","9/19/2001","No","y","","","0","00","","","","","Open","","12/30/2002",""
"171928","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","9/20/2001","9/20/2001","9/20/2001","9/20/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","9/20/2001","No","y","","","0","00","","","","","Open","","12/30/2002",""
"173828","00","Paid","none","1097756","ZENNER & RITTER, INC","","*","001","***No Copy to Customer***","","01","TRAINING  (01) BUFFALO","Buffalo - 01","Return Merchandise","","","10/12/2001","10/12/2001","10/15/2001","10/15/2001","-1","-1","0.00","0.00","0.00","afc","I69","ZENNER & RITTER, INC","afc","10/12/2001","No","y","","","0","00","","","","","Open","","8/22/2003",""
